Data As Of,State,Sex,Age Group,COVID-19 Deaths,Total Deaths,Pneumonia and COVID-19 Deaths
09/27/2023,Connecticut,All Sexes,35-44 years,178.0,3728.0,52.0
09/27/2023,Connecticut,All Sexes,40-49 years,263.0,4292.0,80.0
09/27/2023,Connecticut,All Sexes,45-54 years,451.0,6241.0,155.0
09/27/2023,Connecticut,All Sexes,50-64 years,1598.0,18812.0,600.0
09/27/2023,Connecticut,All Sexes,55-64 years,1304.0,14897.0,490.0
09/27/2023,Connecticut,All Sexes,65-74 years,2226.0,22331.0,821.0
09/27/2023,Connecticut,All Sexes,75-84 years,3244.0,31320.0,1093.0
09/27/2023,Connecticut,All Sexes,85 years and over,5062.0,47875.0,1444.0
09/27/2023,Delaware,All Sexes,All Ages,3445.0,41037.0,1683.0
09/27/2023,Delaware,All Sexes,Under 1 year,0.0,274.0,0.0
09/27/2023,Delaware,All Sexes,0-17 years,0.0,485.0,0.0
09/27/2023,Delaware,All Sexes,1-4 years,0.0,64.0,0.0
09/27/2023,Delaware,All Sexes,5-14 years,0.0,78.0,0.0
09/27/2023,Delaware,All Sexes,15-24 years,0.0,394.0,0.0
09/27/2023,Delaware,All Sexes,18-29 years,0.0,701.0,0.0
09/27/2023,Delaware,All Sexes,25-34 years,24.0,891.0,13.0
09/27/2023,Delaware,All Sexes,30-39 years,43.0,1132.0,24.0
09/27/2023,Delaware,All Sexes,35-44 years,55.0,1327.0,32.0
09/27/2023,Delaware,All Sexes,40-49 years,92.0,1513.0,46.0
09/27/2023,Delaware,All Sexes,45-54 years,174.0,2150.0,96.0
09/27/2023,Delaware,All Sexes,50-64 years,541.0,6563.0,307.0
09/27/2023,Delaware,All Sexes,55-64 years,426.0,5216.0,238.0
09/27/2023,Delaware,All Sexes,65-74 years,737.0,8574.0,420.0
09/27/2023,Delaware,All Sexes,75-84 years,1009.0,10759.0,514.0
09/27/2023,Delaware,All Sexes,85 years and over,1006.0,11310.0,367.0
09/27/2023,Florida,All Sexes,All Ages,81894.0,915140.0,50161.0
09/27/2023,Florida,All Sexes,Under 1 year,30.0,4809.0,0.0
09/27/2023,Florida,All Sexes,0-17 years,108.0,8388.0,39.0
09/27/2023,Florida,All Sexes,1-4 years,14.0,1041.0,0.0
09/27/2023,Florida,All Sexes,5-14 years,34.0,1372.0,0.0
09/27/2023,Florida,All Sexes,15-24 years,227.0,8246.0,124.0
09/27/2023,Florida,All Sexes,18-29 years,533.0,15157.0,305.0
09/27/2023,Florida,All Sexes,25-34 years,917.0,19117.0,560.0
09/27/2023,Florida,All Sexes,30-39 years,1464.0,24320.0,916.0
09/27/2023,Florida,All Sexes,35-44 years,2254.0,28943.0,1425.0
09/27/2023,Florida,All Sexes,40-49 years,3409.0,35053.0,2232.0
09/27/2023,Florida,All Sexes,45-54 years,5098.0,48466.0,3361.0
09/27/2023,Florida,All Sexes,50-64 years,14195.0,142038.0,9276.0
