city,state_name,lat,lng,population,density
Albuquerque,New Mexico,35.1054,-106.6465,765693,1155.5
Rochester,New York,43.168,-77.6162,737309,2227.6
Sarasota,Florida,27.3387,-82.5432,727388,1518.1
Fresno,California,36.783,-119.7939,719558,1757.3
Tulsa,Oklahoma,36.1283,-95.9042,715983,785.8
Allentown,Pennsylvania,40.5961,-75.4756,714136,2663.3
Dayton,Ohio,39.7805,-84.2003,709300,971.7
Birmingham,Alabama,33.5279,-86.7971,704676,553.9
Charleston,South Carolina,32.8168,-79.9687,685517,460.9
Cape Coral,Florida,26.6443,-81.9957,682773,690.5
Columbia,South Carolina,34.0378,-80.9036,640502,377.3
Concord,California,37.9722,-122.0016,640270,1633.1
Colorado Springs,Colorado,38.8674,-104.7605,628808,930.0
Springfield,Massachusetts,42.1155,-72.5395,620494,1861.8
Knoxville,Tennessee,35.9692,-83.9496,619925,733.3
Baton Rouge,Louisiana,30.442,-91.1311,610751,993.9
Ogden,Utah,41.2279,-111.9682,608259,1221.9
Grand Rapids,Michigan,42.9619,-85.6562,604311,1719.6
Albany,New York,42.6664,-73.7987,604077,1747.3
Bakersfield,California,35.3529,-119.0359,590845,979.0
Mission Viejo,California,33.6096,-117.6551,588540,2091.0
New Haven,Connecticut,41.3113,-72.9246,587648,2693.4
Worcester,Massachusetts,42.2705,-71.8079,573573,1913.8
Provo,Utah,40.2457,-111.6457,551645,1082.6
Akron,Ohio,41.0798,-81.5219,546549,1230.5
Palm Bay,Florida,27.9631,-80.6593,528322,508.2
Des Moines,Iowa,41.5725,-93.6105,514654,943.2
Murrieta,California,33.5719,-117.1909,509526,1310.3
Mesa,Arizona,33.4015,-111.7178,497752,1415.7
Staten Island,New York,40.5834,-74.1496,495747,3286.2
Wichita,Kansas,37.6895,-97.3443,491916,930.9
Toledo,Ohio,41.6638,-83.5827,490832,1319.7
Harrisburg,Pennsylvania,40.2752,-76.8843,472261,2342.0
Port St. Lucie,Florida,27.2796,-80.3884,468979,634.0
Long Beach,California,33.7977,-118.167,466565,3517.9
Reno,Nevada,39.5497,-119.8483,463328,889.9
Madison,Wisconsin,43.0822,-89.393,461778,1253.6
Little Rock,Arkansas,34.7256,-92.3577,457379,637.0
Greenville,South Carolina,34.8354,-82.3646,450487,903.6
Denton,Texas,33.2175,-97.1418,445814,557.5
Spokane,Washington,47.6671,-117.433,440270,1230.8
Oakland,California,37.7904,-122.2166,437548,2917.1
Lancaster,Pennsylvania,40.042,-76.3012,430621,3169.1
Poughkeepsie,New York,41.695,-73.9211,423386,2277.1
Boise,Idaho,43.6005,-116.2308,422665,1047.5
Winston-Salem,North Carolina,36.1029,-80.261,420400,712.9
Syracuse,New York,43.0407,-76.1437,418875,2196.4
Augusta,Georgia,33.3645,-82.0708,409668,252.3
Stockton,California,37.9765,-121.3109,406822,1925.2
Palm Coast,Florida,29.5389,-81.2457,403834,357.2
Chattanooga,Tennessee,35.066,-85.2481,403233,491.9
Kissimmee,Florida,28.3041,-81.4169,399929,1300.3
Durham,North Carolina,35.9792,-78.9022,399762,939.7
Arlington,Texas,32.6998,-97.125,392304,1600.4
